Date,Ref ID,Type,Description,Agency,Amount,Balance
12/12/2026,98100023,Fixed Price,"Invoice for Acme Corp - Sprint 12",,857.00,13522.80
12/12/2026,98100024,Service Fee,"Service Fee for Acme Corp - Sprint 12",,-85.70,13437.10
01/13/2025,98100025,Hourly,"Invoice for Horizon Media Ltd - Sprint 13",,1878.00,15315.10
01/13/2025,98100026,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 13",,-187.80,15127.30
02/14/2026,98100027,Fixed Price,"Invoice for Apex Digital Inc - Sprint 14",,1368.00,16495.30
02/14/2026,98100028,Service Fee,"Service Fee for Apex Digital Inc - Sprint 14",,-136.80,16358.50
03/15/2025,98100029,Hourly,"Invoice for Vanguard Software Studio - Sprint 15",,853.00,17211.50
03/15/2025,98100030,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 15",,-85.30,17126.20
04/16/2026,98100031,Fixed Price,"Invoice for Nexus Systems - Sprint 16",,406.00,17532.20
04/16/2026,98100032,Service Fee,"Service Fee for Nexus Systems - Sprint 16",,-40.60,17491.60
05/17/2025,98100033,Hourly,"Invoice for CyberPulse Interactive - Sprint 17",,1385.00,18876.60
05/17/2025,98100034,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 17",,-138.50,18738.10
06/18/2026,98100035,Fixed Price,"Invoice for BlueSky Solutions - Sprint 18",,1386.00,20124.10
06/18/2026,98100036,Service Fee,"Service Fee for BlueSky Solutions - Sprint 18",,-138.60,19985.50
07/19/2025,98100037,Hourly,"Invoice for Starlight Interactive - Sprint 19",,855.00,20840.50
07/19/2025,98100038,Service Fee,"Service Fee for Starlight Interactive - Sprint 19",,-85.50,20755.00
08/20/2026,98100039,Fixed Price,"Invoice for Quantum Code Soft - Sprint 20",,1783.00,22538.00
08/20/2026,98100040,Service Fee,"Service Fee for Quantum Code Soft - Sprint 20",,-178.30,22359.70
09/21/2025,98100041,Hourly,"Invoice for TechFlow Labs LLC - Sprint 21",,508.00,22867.70
09/21/2025,98100042,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 21",,-50.80,22816.90
10/22/2026,98100043,Fixed Price,"Invoice for Acme Corp - Sprint 22",,1737.00,24553.90
10/22/2026,98100044,Service Fee,"Service Fee for Acme Corp - Sprint 22",,-173.70,24380.20
11/23/2025,98100045,Hourly,"Invoice for Horizon Media Ltd - Sprint 23",,1201.00,25581.20
11/23/2025,98100046,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 23",,-120.10,25461.10
12/24/2026,98100047,Fixed Price,"Invoice for Apex Digital Inc - Sprint 24",,743.00,26204.10
12/24/2026,98100048,Service Fee,"Service Fee for Apex Digital Inc - Sprint 24",,-74.30,26129.80
01/25/2025,98100049,Hourly,"Invoice for Vanguard Software Studio - Sprint 25",,612.00,26741.80
01/25/2025,98100050,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 25",,-61.20,26680.60
02/26/2026,98100051,Fixed Price,"Invoice for Nexus Systems - Sprint 26",,1995.00,28675.60
02/26/2026,98100052,Service Fee,"Service Fee for Nexus Systems - Sprint 26",,-199.50,28476.10
03/27/2025,98100053,Hourly,"Invoice for CyberPulse Interactive - Sprint 27",,728.00,29204.10
03/27/2025,98100054,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 27",,-72.80,29131.30
04/28/2026,98100055,Fixed Price,"Invoice for BlueSky Solutions - Sprint 28",,335.00,29466.30
04/28/2026,98100056,Service Fee,"Service Fee for BlueSky Solutions - Sprint 28",,-33.50,29432.80
05/01/2025,98100057,Hourly,"Invoice for Starlight Interactive - Sprint 29",,1607.00,31039.80
05/01/2025,98100058,Service Fee,"Service Fee for Starlight Interactive - Sprint 29",,-160.70,30879.10
06/02/2026,98100059,Fixed Price,"Invoice for Quantum Code Soft - Sprint 30",,1855.00,32734.10
06/02/2026,98100060,Service Fee,"Service Fee for Quantum Code Soft - Sprint 30",,-185.50,32548.60
07/03/2025,98100061,Hourly,"Invoice for TechFlow Labs LLC - Sprint 31",,1997.00,34545.60
07/03/2025,98100062,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 31",,-199.70,34345.90
08/04/2026,98100063,Fixed Price,"Invoice for Acme Corp - Sprint 32",,613.00,34958.90
08/04/2026,98100064,Service Fee,"Service Fee for Acme Corp - Sprint 32",,-61.30,34897.60
09/05/2025,98100065,Hourly,"Invoice for Horizon Media Ltd - Sprint 33",,902.00,35799.60
09/05/2025,98100066,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 33",,-90.20,35709.40
10/06/2026,98100067,Fixed Price,"Invoice for Apex Digital Inc - Sprint 34",,1489.00,37198.40
10/06/2026,98100068,Service Fee,"Service Fee for Apex Digital Inc - Sprint 34",,-148.90,37049.50
11/07/2025,98100069,Hourly,"Invoice for Vanguard Software Studio - Sprint 35",,1825.00,38874.50
11/07/2025,98100070,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 35",,-182.50,38692.00
12/08/2026,98100071,Fixed Price,"Invoice for Nexus Systems - Sprint 36",,1894.00,40586.00
12/08/2026,98100072,Service Fee,"Service Fee for Nexus Systems - Sprint 36",,-189.40,40396.60
01/09/2025,98100073,Hourly,"Invoice for CyberPulse Interactive - Sprint 37",,1982.00,42378.60
01/09/2025,98100074,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 37",,-198.20,42180.40
02/10/2026,98100075,Fixed Price,"Invoice for BlueSky Solutions - Sprint 38",,832.00,43012.40
02/10/2026,98100076,Service Fee,"Service Fee for BlueSky Solutions - Sprint 38",,-83.20,42929.20
03/11/2025,98100077,Hourly,"Invoice for Starlight Interactive - Sprint 39",,1788.00,44717.20
03/11/2025,98100078,Service Fee,"Service Fee for Starlight Interactive - Sprint 39",,-178.80,44538.40
04/12/2026,98100079,Fixed Price,"Invoice for Quantum Code Soft - Sprint 40",,1351.00,45889.40
04/12/2026,98100080,Service Fee,"Service Fee for Quantum Code Soft - Sprint 40",,-135.10,45754.30
05/13/2025,98100081,Hourly,"Invoice for TechFlow Labs LLC - Sprint 41",,1039.00,46793.30
05/13/2025,98100082,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 41",,-103.90,46689.40
06/14/2026,98100083,Fixed Price,"Invoice for Acme Corp - Sprint 42",,1164.00,47853.40
06/14/2026,98100084,Service Fee,"Service Fee for Acme Corp - Sprint 42",,-116.40,47737.00
07/15/2025,98100085,Hourly,"Invoice for Horizon Media Ltd - Sprint 43",,1805.00,49542.00
07/15/2025,98100086,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 43",,-180.50,49361.50
08/16/2026,98100087,Fixed Price,"Invoice for Apex Digital Inc - Sprint 44",,298.00,49659.50
08/16/2026,98100088,Service Fee,"Service Fee for Apex Digital Inc - Sprint 44",,-29.80,49629.70
09/17/2025,98100089,Hourly,"Invoice for Vanguard Software Studio - Sprint 45",,1910.00,51539.70
09/17/2025,98100090,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 45",,-191.00,51348.70
10/18/2026,98100091,Fixed Price,"Invoice for Nexus Systems - Sprint 46",,352.00,51700.70
10/18/2026,98100092,Service Fee,"Service Fee for Nexus Systems - Sprint 46",,-35.20,51665.50
11/19/2025,98100093,Hourly,"Invoice for CyberPulse Interactive - Sprint 47",,1072.00,52737.50
11/19/2025,98100094,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 47",,-107.20,52630.30
12/20/2026,98100095,Fixed Price,"Invoice for BlueSky Solutions - Sprint 48",,1884.00,54514.30
12/20/2026,98100096,Service Fee,"Service Fee for BlueSky Solutions - Sprint 48",,-188.40,54325.90
01/21/2025,98100097,Hourly,"Invoice for Starlight Interactive - Sprint 49",,1905.00,56230.90
01/21/2025,98100098,Service Fee,"Service Fee for Starlight Interactive - Sprint 49",,-190.50,56040.40
02/22/2026,98100099,Fixed Price,"Invoice for Quantum Code Soft - Sprint 50",,1546.00,57586.40
02/22/2026,98100100,Service Fee,"Service Fee for Quantum Code Soft - Sprint 50",,-154.60,57431.80
03/23/2025,98100101,Hourly,"Invoice for TechFlow Labs LLC - Sprint 51",,1489.00,58920.80
03/23/2025,98100102,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 51",,-148.90,58771.90
04/24/2026,98100103,Fixed Price,"Invoice for Acme Corp - Sprint 52",,1755.00,60526.90
04/24/2026,98100104,Service Fee,"Service Fee for Acme Corp - Sprint 52",,-175.50,60351.40
05/25/2025,98100105,Hourly,"Invoice for Horizon Media Ltd - Sprint 53",,1383.00,61734.40
05/25/2025,98100106,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 53",,-138.30,61596.10
06/26/2026,98100107,Fixed Price,"Invoice for Apex Digital Inc - Sprint 54",,609.00,62205.10
06/26/2026,98100108,Service Fee,"Service Fee for Apex Digital Inc - Sprint 54",,-60.90,62144.20
07/27/2025,98100109,Hourly,"Invoice for Vanguard Software Studio - Sprint 55",,1759.00,63903.20
07/27/2025,98100110,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 55",,-175.90,63727.30
08/28/2026,98100111,Fixed Price,"Invoice for Nexus Systems - Sprint 56",,1730.00,65457.30
08/28/2026,98100112,Service Fee,"Service Fee for Nexus Systems - Sprint 56",,-173.00,65284.30
09/01/2025,98100113,Hourly,"Invoice for CyberPulse Interactive - Sprint 57",,1625.00,66909.30
09/01/2025,98100114,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 57",,-162.50,66746.80
10/02/2026,98100115,Fixed Price,"Invoice for BlueSky Solutions - Sprint 58",,1263.00,68009.80
10/02/2026,98100116,Service Fee,"Service Fee for BlueSky Solutions - Sprint 58",,-126.30,67883.50
11/03/2025,98100117,Hourly,"Invoice for Starlight Interactive - Sprint 59",,891.00,68774.50
11/03/2025,98100118,Service Fee,"Service Fee for Starlight Interactive - Sprint 59",,-89.10,68685.40
12/04/2026,98100119,Fixed Price,"Invoice for Quantum Code Soft - Sprint 60",,1782.00,70467.40
12/04/2026,98100120,Service Fee,"Service Fee for Quantum Code Soft - Sprint 60",,-178.20,70289.20
01/05/2025,98100121,Hourly,"Invoice for TechFlow Labs LLC - Sprint 61",,1272.00,71561.20
01/05/2025,98100122,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 61",,-127.20,71434.00
02/06/2026,98100123,Fixed Price,"Invoice for Acme Corp - Sprint 62",,275.00,71709.00
02/06/2026,98100124,Service Fee,"Service Fee for Acme Corp - Sprint 62",,-27.50,71681.50
03/07/2025,98100125,Hourly,"Invoice for Horizon Media Ltd - Sprint 63",,718.00,72399.50
03/07/2025,98100126,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 63",,-71.80,72327.70
04/08/2026,98100127,Fixed Price,"Invoice for Apex Digital Inc - Sprint 64",,309.00,72636.70
04/08/2026,98100128,Service Fee,"Service Fee for Apex Digital Inc - Sprint 64",,-30.90,72605.80
05/09/2025,98100129,Hourly,"Invoice for Vanguard Software Studio - Sprint 65",,1087.00,73692.80
05/09/2025,98100130,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 65",,-108.70,73584.10
06/10/2026,98100131,Fixed Price,"Invoice for Nexus Systems - Sprint 66",,1081.00,74665.10
06/10/2026,98100132,Service Fee,"Service Fee for Nexus Systems - Sprint 66",,-108.10,74557.00
07/11/2025,98100133,Hourly,"Invoice for CyberPulse Interactive - Sprint 67",,1578.00,76135.00
07/11/2025,98100134,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 67",,-157.80,75977.20
08/12/2026,98100135,Fixed Price,"Invoice for BlueSky Solutions - Sprint 68",,1835.00,77812.20
08/12/2026,98100136,Service Fee,"Service Fee for BlueSky Solutions - Sprint 68",,-183.50,77628.70
09/13/2025,98100137,Hourly,"Invoice for Starlight Interactive - Sprint 69",,1107.00,78735.70
09/13/2025,98100138,Service Fee,"Service Fee for Starlight Interactive - Sprint 69",,-110.70,78625.00
10/14/2026,98100139,Fixed Price,"Invoice for Quantum Code Soft - Sprint 70",,1029.00,79654.00
10/14/2026,98100140,Service Fee,"Service Fee for Quantum Code Soft - Sprint 70",,-102.90,79551.10
11/15/2025,98100141,Hourly,"Invoice for TechFlow Labs LLC - Sprint 71",,915.00,80466.10
11/15/2025,98100142,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 71",,-91.50,80374.60
12/16/2026,98100143,Fixed Price,"Invoice for Acme Corp - Sprint 72",,559.00,80933.60
12/16/2026,98100144,Service Fee,"Service Fee for Acme Corp - Sprint 72",,-55.90,80877.70
01/17/2025,98100145,Hourly,"Invoice for Horizon Media Ltd - Sprint 73",,851.00,81728.70
01/17/2025,98100146,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 73",,-85.10,81643.60
02/18/2026,98100147,Fixed Price,"Invoice for Apex Digital Inc - Sprint 74",,1770.00,83413.60
02/18/2026,98100148,Service Fee,"Service Fee for Apex Digital Inc - Sprint 74",,-177.00,83236.60
03/19/2025,98100149,Hourly,"Invoice for Vanguard Software Studio - Sprint 75",,1045.00,84281.60
03/19/2025,98100150,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 75",,-104.50,84177.10
04/20/2026,98100151,Fixed Price,"Invoice for Nexus Systems - Sprint 76",,421.00,84598.10
04/20/2026,98100152,Service Fee,"Service Fee for Nexus Systems - Sprint 76",,-42.10,84556.00
05/21/2025,98100153,Hourly,"Invoice for CyberPulse Interactive - Sprint 77",,1513.00,86069.00
05/21/2025,98100154,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 77",,-151.30,85917.70
06/22/2026,98100155,Fixed Price,"Invoice for BlueSky Solutions - Sprint 78",,669.00,86586.70
06/22/2026,98100156,Service Fee,"Service Fee for BlueSky Solutions - Sprint 78",,-66.90,86519.80
07/23/2025,98100157,Hourly,"Invoice for Starlight Interactive - Sprint 79",,390.00,86909.80
07/23/2025,98100158,Service Fee,"Service Fee for Starlight Interactive - Sprint 79",,-39.00,86870.80
08/24/2026,98100159,Fixed Price,"Invoice for Quantum Code Soft - Sprint 80",,319.00,87189.80
08/24/2026,98100160,Service Fee,"Service Fee for Quantum Code Soft - Sprint 80",,-31.90,87157.90
09/25/2025,98100161,Hourly,"Invoice for TechFlow Labs LLC - Sprint 81",,990.00,88147.90
09/25/2025,98100162,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 81",,-99.00,88048.90
10/26/2026,98100163,Fixed Price,"Invoice for Acme Corp - Sprint 82",,1420.00,89468.90
10/26/2026,98100164,Service Fee,"Service Fee for Acme Corp - Sprint 82",,-142.00,89326.90
11/27/2025,98100165,Hourly,"Invoice for Horizon Media Ltd - Sprint 83",,775.00,90101.90
11/27/2025,98100166,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 83",,-77.50,90024.40
12/28/2026,98100167,Fixed Price,"Invoice for Apex Digital Inc - Sprint 84",,1996.00,92020.40
12/28/2026,98100168,Service Fee,"Service Fee for Apex Digital Inc - Sprint 84",,-199.60,91820.80
01/01/2025,98100169,Hourly,"Invoice for Vanguard Software Studio - Sprint 85",,475.00,92295.80
01/01/2025,98100170,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 85",,-47.50,92248.30
02/02/2026,98100171,Fixed Price,"Invoice for Nexus Systems - Sprint 86",,1625.00,93873.30
02/02/2026,98100172,Service Fee,"Service Fee for Nexus Systems - Sprint 86",,-162.50,93710.80
03/03/2025,98100173,Hourly,"Invoice for CyberPulse Interactive - Sprint 87",,1094.00,94804.80
03/03/2025,98100174,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 87",,-109.40,94695.40
04/04/2026,98100175,Fixed Price,"Invoice for BlueSky Solutions - Sprint 88",,528.00,95223.40
04/04/2026,98100176,Service Fee,"Service Fee for BlueSky Solutions - Sprint 88",,-52.80,95170.60
05/05/2025,98100177,Hourly,"Invoice for Starlight Interactive - Sprint 89",,395.00,95565.60
05/05/2025,98100178,Service Fee,"Service Fee for Starlight Interactive - Sprint 89",,-39.50,95526.10
06/06/2026,98100179,Fixed Price,"Invoice for Quantum Code Soft - Sprint 90",,423.00,95949.10
06/06/2026,98100180,Service Fee,"Service Fee for Quantum Code Soft - Sprint 90",,-42.30,95906.80
07/07/2025,98100181,Hourly,"Invoice for TechFlow Labs LLC - Sprint 91",,569.00,96475.80
07/07/2025,98100182,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 91",,-56.90,96418.90
08/08/2026,98100183,Fixed Price,"Invoice for Acme Corp - Sprint 92",,1972.00,98390.90
08/08/2026,98100184,Service Fee,"Service Fee for Acme Corp - Sprint 92",,-197.20,98193.70
09/09/2025,98100185,Hourly,"Invoice for Horizon Media Ltd - Sprint 93",,1582.00,99775.70
09/09/2025,98100186,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 93",,-158.20,99617.50
10/10/2026,98100187,Fixed Price,"Invoice for Apex Digital Inc - Sprint 94",,270.00,99887.50
10/10/2026,98100188,Service Fee,"Service Fee for Apex Digital Inc - Sprint 94",,-27.00,99860.50
11/11/2025,98100189,Hourly,"Invoice for Vanguard Software Studio - Sprint 95",,1674.00,101534.50
11/11/2025,98100190,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 95",,-167.40,101367.10
12/12/2026,98100191,Fixed Price,"Invoice for Nexus Systems - Sprint 96",,1474.00,102841.10
12/12/2026,98100192,Service Fee,"Service Fee for Nexus Systems - Sprint 96",,-147.40,102693.70
01/13/2025,98100193,Hourly,"Invoice for CyberPulse Interactive - Sprint 97",,1121.00,103814.70
01/13/2025,98100194,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 97",,-112.10,103702.60
02/14/2026,98100195,Fixed Price,"Invoice for BlueSky Solutions - Sprint 98",,621.00,104323.60
02/14/2026,98100196,Service Fee,"Service Fee for BlueSky Solutions - Sprint 98",,-62.10,104261.50
03/15/2025,98100197,Hourly,"Invoice for Starlight Interactive - Sprint 99",,1814.00,106075.50
03/15/2025,98100198,Service Fee,"Service Fee for Starlight Interactive - Sprint 99",,-181.40,105894.10
04/16/2026,98100199,Fixed Price,"Invoice for Quantum Code Soft - Sprint 100",,1094.00,106988.10
04/16/2026,98100200,Service Fee,"Service Fee for Quantum Code Soft - Sprint 100",,-109.40,106878.70
05/17/2025,98100201,Hourly,"Invoice for TechFlow Labs LLC - Sprint 101",,1134.00,108012.70
05/17/2025,98100202,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 101",,-113.40,107899.30
06/18/2026,98100203,Fixed Price,"Invoice for Acme Corp - Sprint 102",,463.00,108362.30
06/18/2026,98100204,Service Fee,"Service Fee for Acme Corp - Sprint 102",,-46.30,108316.00
07/19/2025,98100205,Hourly,"Invoice for Horizon Media Ltd - Sprint 103",,460.00,108776.00
07/19/2025,98100206,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 103",,-46.00,108730.00
08/20/2026,98100207,Fixed Price,"Invoice for Apex Digital Inc - Sprint 104",,411.00,109141.00
08/20/2026,98100208,Service Fee,"Service Fee for Apex Digital Inc - Sprint 104",,-41.10,109099.90
09/21/2025,98100209,Hourly,"Invoice for Vanguard Software Studio - Sprint 105",,1436.00,110535.90
09/21/2025,98100210,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 105",,-143.60,110392.30
10/22/2026,98100211,Fixed Price,"Invoice for Nexus Systems - Sprint 106",,1206.00,111598.30
10/22/2026,98100212,Service Fee,"Service Fee for Nexus Systems - Sprint 106",,-120.60,111477.70
11/23/2025,98100213,Hourly,"Invoice for CyberPulse Interactive - Sprint 107",,570.00,112047.70
11/23/2025,98100214,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 107",,-57.00,111990.70
12/24/2026,98100215,Fixed Price,"Invoice for BlueSky Solutions - Sprint 108",,1320.00,113310.70
12/24/2026,98100216,Service Fee,"Service Fee for BlueSky Solutions - Sprint 108",,-132.00,113178.70
01/25/2025,98100217,Hourly,"Invoice for Starlight Interactive - Sprint 109",,1628.00,114806.70
01/25/2025,98100218,Service Fee,"Service Fee for Starlight Interactive - Sprint 109",,-162.80,114643.90
02/26/2026,98100219,Fixed Price,"Invoice for Quantum Code Soft - Sprint 110",,1402.00,116045.90
02/26/2026,98100220,Service Fee,"Service Fee for Quantum Code Soft - Sprint 110",,-140.20,115905.70
03/27/2025,98100221,Hourly,"Invoice for TechFlow Labs LLC - Sprint 111",,1897.00,117802.70
03/27/2025,98100222,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 111",,-189.70,117613.00
04/28/2026,98100223,Fixed Price,"Invoice for Acme Corp - Sprint 112",,1074.00,118687.00
04/28/2026,98100224,Service Fee,"Service Fee for Acme Corp - Sprint 112",,-107.40,118579.60
05/01/2025,98100225,Hourly,"Invoice for Horizon Media Ltd - Sprint 113",,1324.00,119903.60
05/01/2025,98100226,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 113",,-132.40,119771.20
06/02/2026,98100227,Fixed Price,"Invoice for Apex Digital Inc - Sprint 114",,1843.00,121614.20
06/02/2026,98100228,Service Fee,"Service Fee for Apex Digital Inc - Sprint 114",,-184.30,121429.90
07/03/2025,98100229,Hourly,"Invoice for Vanguard Software Studio - Sprint 115",,1849.00,123278.90
07/03/2025,98100230,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 115",,-184.90,123094.00
08/04/2026,98100231,Fixed Price,"Invoice for Nexus Systems - Sprint 116",,1139.00,124233.00
08/04/2026,98100232,Service Fee,"Service Fee for Nexus Systems - Sprint 116",,-113.90,124119.10
09/05/2025,98100233,Hourly,"Invoice for CyberPulse Interactive - Sprint 117",,624.00,124743.10
09/05/2025,98100234,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 117",,-62.40,124680.70
10/06/2026,98100235,Fixed Price,"Invoice for BlueSky Solutions - Sprint 118",,925.00,125605.70
10/06/2026,98100236,Service Fee,"Service Fee for BlueSky Solutions - Sprint 118",,-92.50,125513.20
11/07/2025,98100237,Hourly,"Invoice for Starlight Interactive - Sprint 119",,1169.00,126682.20
11/07/2025,98100238,Service Fee,"Service Fee for Starlight Interactive - Sprint 119",,-116.90,126565.30
12/08/2026,98100239,Fixed Price,"Invoice for Quantum Code Soft - Sprint 120",,1444.00,128009.30
12/08/2026,98100240,Service Fee,"Service Fee for Quantum Code Soft - Sprint 120",,-144.40,127864.90
01/09/2025,98100241,Hourly,"Invoice for TechFlow Labs LLC - Sprint 121",,1878.00,129742.90
01/09/2025,98100242,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 121",,-187.80,129555.10
02/10/2026,98100243,Fixed Price,"Invoice for Acme Corp - Sprint 122",,1881.00,131436.10
02/10/2026,98100244,Service Fee,"Service Fee for Acme Corp - Sprint 122",,-188.10,131248.00
03/11/2025,98100245,Hourly,"Invoice for Horizon Media Ltd - Sprint 123",,1170.00,132418.00
03/11/2025,98100246,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 123",,-117.00,132301.00
04/12/2026,98100247,Fixed Price,"Invoice for Apex Digital Inc - Sprint 124",,914.00,133215.00
04/12/2026,98100248,Service Fee,"Service Fee for Apex Digital Inc - Sprint 124",,-91.40,133123.60
05/13/2025,98100249,Hourly,"Invoice for Vanguard Software Studio - Sprint 125",,1684.00,134807.60
05/13/2025,98100250,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 125",,-168.40,134639.20
06/14/2026,98100251,Fixed Price,"Invoice for Nexus Systems - Sprint 126",,1025.00,135664.20
06/14/2026,98100252,Service Fee,"Service Fee for Nexus Systems - Sprint 126",,-102.50,135561.70
07/15/2025,98100253,Hourly,"Invoice for CyberPulse Interactive - Sprint 127",,485.00,136046.70
07/15/2025,98100254,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 127",,-48.50,135998.20
08/16/2026,98100255,Fixed Price,"Invoice for BlueSky Solutions - Sprint 128",,1779.00,137777.20
08/16/2026,98100256,Service Fee,"Service Fee for BlueSky Solutions - Sprint 128",,-177.90,137599.30
09/17/2025,98100257,Hourly,"Invoice for Starlight Interactive - Sprint 129",,1230.00,138829.30
09/17/2025,98100258,Service Fee,"Service Fee for Starlight Interactive - Sprint 129",,-123.00,138706.30
10/18/2026,98100259,Fixed Price,"Invoice for Quantum Code Soft - Sprint 130",,521.00,139227.30
10/18/2026,98100260,Service Fee,"Service Fee for Quantum Code Soft - Sprint 130",,-52.10,139175.20
11/19/2025,98100261,Hourly,"Invoice for TechFlow Labs LLC - Sprint 131",,1630.00,140805.20
11/19/2025,98100262,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 131",,-163.00,140642.20
12/20/2026,98100263,Fixed Price,"Invoice for Acme Corp - Sprint 132",,1030.00,141672.20
12/20/2026,98100264,Service Fee,"Service Fee for Acme Corp - Sprint 132",,-103.00,141569.20
01/21/2025,98100265,Hourly,"Invoice for Horizon Media Ltd - Sprint 133",,348.00,141917.20
01/21/2025,98100266,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 133",,-34.80,141882.40
02/22/2026,98100267,Fixed Price,"Invoice for Apex Digital Inc - Sprint 134",,580.00,142462.40
02/22/2026,98100268,Service Fee,"Service Fee for Apex Digital Inc - Sprint 134",,-58.00,142404.40
03/23/2025,98100269,Hourly,"Invoice for Vanguard Software Studio - Sprint 135",,471.00,142875.40
03/23/2025,98100270,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 135",,-47.10,142828.30
04/24/2026,98100271,Fixed Price,"Invoice for Nexus Systems - Sprint 136",,1382.00,144210.30
04/24/2026,98100272,Service Fee,"Service Fee for Nexus Systems - Sprint 136",,-138.20,144072.10
