Date,Ref ID,Type,Category,Description,Client Name,Client Company,Client Email,Client Phone,Client Platform,Client Country,Vendor Payee,Invoice Number,Invoice Status,Invoice Issue Date,Invoice Due Date,Invoice Paid Date,Invoice Subtotal Foreign,Invoice Discount Foreign,Invoice Tax Rate Pct,Invoice Total Foreign,Currency,Exchange Rate to PKR,Amount,Amount Foreign,Amount PKR,Tax Year,Tax Regimen Section,Export Income PKR,Local Income PKR,Deductible Expense PKR,PSEB Export Tax Rate Pct,PSEB Export Tax Liability PKR,Standard Export Tax Rate Pct,Standard Export Tax Liability PKR,PSEB Tax Savings PKR,Local Taxable Income PKR,Local Tax Slab Bracket,Local Tax Liability PKR,Total Tax Liability PSEB PKR,Total Tax Liability Non PSEB PKR,Effective Tax Rate PSEB Pct,Net Take Home Income PKR,SBP Purpose Code,PRC Reference Number,FBR Filing Compliance Status,Simulation Scenario Tag,Scenario Description Notes
2025-09-02,TXN-2025-0901,Income,freelance_service,Invoice INV-2025-006 from ByteWave Solutions GmbH - FinTech API Gateway Development,ByteWave Solutions,ByteWave Solutions GmbH,rechnung@bytewave.de,+49-30-1234567,direct,Germany,ByteWave Solutions GmbH,INV-2025-006,paid,2025-08-20,2025-09-02,2025-09-02,2800.00,0.00,0.00,2800.00,EUR,302.1000,2800.00,2800.00,845880.00,2025-26,Section 154A IT Export,845880.00,0.00,0.00,0.25%,2114.70,1.00%,8458.80,6344.10,0.00,N/A - Export Final Tax,0.00,2114.70,8458.80,0.25%,843765.30,9100,PRC-UBL-2025-61204,Verified & Audit Ready,Actual TY2026,European SEPA inward wire via banking channel under Section 154A
2025-09-10,TXN-2025-0902,Expense,software,OpenAI API & Anthropic Claude Pro Developer Tier Subscriptions,,,,,,United States,OpenAI LLC & Anthropic PBC,,,,,,,,,,USD,280.5000,-120.00,120.00,33660.00,2025-26,Deductible Business Expense,0.00,0.00,33660.00,0.00%,0.00,0.00%,0.00,0.00,0.00,N/A - Business Expense,0.00,0.00,0.00,0.00%,-33660.00,,,Deductible Receipt Attached,Actual TY2026,Generative AI API inference tokens and automated test generation costs
2025-09-18,TXN-2025-0903,Income,freelance_service,Upwork Hourly Payout - Starlight Interactive React Native Mobile Client,Starlight Interactive,Starlight Interactive LLC,accounts@starlightinteractive.com,+1-408-555-0188,upwork,United States,Starlight Interactive,INV-2025-007,paid,2025-09-05,2025-09-18,2025-09-18,3150.00,0.00,0.00,3150.00,USD,280.5000,3150.00,3150.00,883575.00,2025-26,Section 154A IT Export,883575.00,0.00,0.00,0.25%,2208.94,1.00%,8835.75,6626.81,0.00,N/A - Export Final Tax,0.00,2208.94,8835.75,0.25%,881366.06,9100,PRC-HBL-2025-90112,Verified & Audit Ready,Actual TY2026,Tracked hourly Upwork contract for 70 engineering hours at $45/hr
2025-09-18,TXN-2025-0904,Expense,other,Upwork Platform Service Fee - Starlight Interactive Contract,Starlight Interactive,Upwork Global Inc,donotreply@upwork.com,+1-650-316-7500,upwork,United States,Upwork Global Inc,,,,,,,,,,USD,280.5000,-315.00,315.00,88357.50,2025-26,Deductible Business Expense,0.00,0.00,88357.50,0.00%,0.00,0.00%,0.00,0.00,0.00,N/A - Business Expense,0.00,0.00,0.00,0.00%,-88357.50,,,Deductible Receipt Attached,Actual TY2026,Upwork 10% platform fee deducted on gross hourly billing
2025-09-25,TXN-2025-0905,Expense,hardware,"Apple MacBook Pro M3 Max (36GB RAM, 1TB SSD) Workstation Hardware Purchase",,,,,,Pakistan,Apple Authorized Reseller Pakistan,,,,,,,,,,PKR,1.0000,-850000.00,850000.00,850000.00,2025-26,Deductible Business Expense,0.00,0.00,850000.00,0.00%,0.00,0.00%,0.00,0.00,0.00,N/A - Business Expense,0.00,0.00,0.00,0.00%,-850000.00,,,Deductible Receipt Attached,Actual TY2026,Capital asset / computer equipment expenditure for local software engineering
2025-10-06,TXN-2025-1001,Income,freelance_service,Invoice INV-2025-008 from Quantum Code Soft - High Throughput WebSockets Backend Engine,Quantum Code Soft,Quantum Code Software Inc,invoices@quantumcode.io,+1-617-555-0133,direct,United States,Quantum Code Soft,INV-2025-008,paid,2025-09-28,2025-10-06,2025-10-06,4200.00,0.00,0.00,4200.00,USD,280.5000,4200.00,4200.00,1178100.00,2025-26,Section 154A IT Export,1178100.00,0.00,0.00,0.25%,2945.25,1.00%,11781.00,8835.75,0.00,N/A - Export Final Tax,0.00,2945.25,11781.00,0.25%,1175154.75,9100,PRC-BAHL-2025-41009,Verified & Audit Ready,Actual TY2026,US client direct contract wire into Bank AL Habib foreign currency account
2025-10-15,TXN-2025-1002,Income,freelance_service,Invoice INV-2025-009 for Lahore Retail Hub - Point of Sale & Inventory Synchronization Engine,Lahore Retail Hub,Lahore Retail Group Pvt Ltd,billing@lahoreretail.pk,+92-42-111-222-333,direct,Pakistan,Lahore Retail Hub,INV-2025-009,paid,2025-10-01,2025-10-15,2025-10-15,450000.00,0.00,0.00,450000.00,PKR,1.0000,450000.00,450000.00,450000.00,2025-26,Section 9/10 Normal Slabs,0.00,450000.00,0.00,0.00%,0.00,0.00%,0.00,0.00,450000.00,Bracket 1: PKR 0 - 600k (0% Exemption),0.00,0.00,0.00,0.00%,450000.00,,,Verified & Audit Ready,Actual TY2026,Local business software integration contract in Pakistani Rupees
2025-10-20,TXN-2025-1003,Expense,software,JetBrains All Products Pack & Vercel Pro Team Annual Developer Licenses,,,,,,United States,JetBrains s.r.o. / Vercel Inc,,,,,,,,,,USD,280.5000,-380.00,380.00,106590.00,2025-26,Deductible Business Expense,0.00,0.00,106590.00,0.00%,0.00,0.00%,0.00,0.00,0.00,N/A - Business Expense,0.00,0.00,0.00,0.00%,-106590.00,,,Deductible Receipt Attached,Actual TY2026,Annual development environment tools and cloud deployment stack
2025-11-04,TXN-2025-1101,Income,freelance_service,Upwork Fixed Price - Horizon Media Ltd - Video Streaming Transcoder Pipeline,Horizon Media Ltd,Horizon Media Global Ltd,accounts@horizonmedia.com,+1-206-555-0155,upwork,United States,Horizon Media Ltd,INV-2025-010,paid,2025-10-25,2025-11-04,2025-11-04,2900.00,0.00,0.00,2900.00,USD,280.5000,2900.00,2900.00,813450.00,2025-26,Section 154A IT Export,813450.00,0.00,0.00,0.25%,2033.62,1.00%,8134.50,6100.88,0.00,N/A - Export Final Tax,0.00,2033.62,8134.50,0.25%,811416.38,9100,PRC-HBL-2025-94520,Verified & Audit Ready,Actual TY2026,FFmpeg audio video processing architecture on AWS Lambda
2025-11-04,TXN-2025-1102,Expense,other,Upwork Platform Service Fee - Horizon Media Ltd Contract,Horizon Media Ltd,Upwork Global Inc,donotreply@upwork.com,+1-650-316-7500,upwork,United States,Upwork Global Inc,,,,,,,,,,USD,280.5000,-290.00,290.00,81345.00,2025-26,Deductible Business Expense,0.00,0.00,81345.00,0.00%,0.00,0.00%,0.00,0.00,0.00,N/A - Business Expense,0.00,0.00,0.00,0.00%,-81345.00,,,Deductible Receipt Attached,Actual TY2026,"Standard 10% platform fee on $2,900 milestone payout"
2025-11-18,TXN-2025-1103,Income,freelance_service,Invoice INV-2025-011 for Nordic Fintech AB - Cryptographic Key Management Microservice,Nordic Fintech AB,Nordic Fintech AB,payments@nordicfintech.se,+46-8-123-4567,direct,Sweden,Nordic Fintech AB,INV-2025-011,paid,2025-11-05,2025-11-18,2025-11-18,3200.00,0.00,0.00,3200.00,EUR,302.1000,3200.00,3200.00,966720.00,2025-26,Section 154A IT Export,966720.00,0.00,0.00,0.25%,2416.80,1.00%,9667.20,7250.40,0.00,N/A - Export Final Tax,0.00,2416.80,9667.20,0.25%,964303.20,9100,PRC-SCB-2025-18933,Verified & Audit Ready,Actual TY2026,Swedish FinTech client export proceeds in EUR
2025-11-28,TXN-2025-1104,Expense,marketing,"Online Marketing, Personal Portfolio Domain & Google Workspace Suite",,,,,,United States,Google Cloud / Namecheap,,,,,,,,,,USD,280.5000,-65.00,65.00,18232.50,2025-26,Deductible Business Expense,0.00,0.00,18232.50,0.00%,0.00,0.00%,0.00,0.00,0.00,N/A - Business Expense,0.00,0.00,0.00,0.00%,-18232.50,,,Deductible Receipt Attached,Actual TY2026,"Portfolio website hosting, DNS records, and corporate business email"
2025-12-08,TXN-2025-1201,Income,freelance_service,Invoice INV-2025-012 from Vanguard Software Studio - GraphQL API Redesign,Vanguard Software Studio,Vanguard Software Studio LLC,accounting@vanguardstudio.com,+1-512-555-0164,direct,United States,Vanguard Software Studio,INV-2025-012,paid,2025-11-25,2025-12-08,2025-12-08,3800.00,0.00,0.00,3800.00,USD,280.5000,3800.00,3800.00,1065900.00,2025-26,Section 154A IT Export,1065900.00,0.00,0.00,0.25%,2664.75,1.00%,10659.00,7994.25,0.00,N/A - Export Final Tax,0.00,2664.75,10659.00,0.25%,1063235.25,9100,PRC-HBL-2025-98311,Verified & Audit Ready,Actual TY2026,Direct client banking channel remittance with 0.25% PSEB tax treatment
2025-12-20,TXN-2025-1202,Income,freelance_service,Invoice INV-2025-013 for Islamabad Tech Park Startup - MVP Architecture Consulting,Islamabad Tech Park Startup,Islamabad Tech Incubator Pvt Ltd,founder@isbtechpark.pk,+92-51-2233445,direct,Pakistan,Islamabad Tech Park Startup,INV-2025-013,paid,2025-12-05,2025-12-20,2025-12-20,400000.00,0.00,0.00,400000.00,PKR,1.0000,400000.00,400000.00,400000.00,2025-26,Section 9/10 Normal Slabs,0.00,400000.00,0.00,0.00%,0.00,0.00%,0.00,0.00,400000.00,Bracket 1: PKR 0 - 600k (0% Exemption),0.00,0.00,0.00,0.00%,400000.00,,,Verified & Audit Ready,Actual TY2026,Local technical consultancy services in PKR
2025-12-28,TXN-2025-1203,Expense,office,Coworking Space Quarterly Maintenance & High-Speed Backup Connectivity,,,,,,Pakistan,Daftarkhwan / Kickstart Coworking,,,,,,,,,,PKR,1.0000,-55000.00,55000.00,55000.00,2025-26,Deductible Business Expense,0.00,0.00,55000.00,0.00%,0.00,0.00%,0.00,0.00,0.00,N/A - Business Expense,0.00,0.00,0.00,0.00%,-55000.00,,,Deductible Receipt Attached,Actual TY2026,Office facility and backup power generator fuel contribution
2026-01-10,TXN-2026-0101,Income,freelance_service,Invoice INV-2026-014 from Acme Corp - Phase 2 Cloud Microservices Migration,Acme Corp,Acme Global Technologies Inc,finance@acmeglobal.com,+1-415-555-0142,direct,United States,Acme Global Technologies Inc,INV-2026-014,paid,2025-12-28,2026-01-10,2026-01-10,4800.00,0.00,0.00,4800.00,USD,280.5000,4800.00,4800.00,1346400.00,2025-26,Section 154A IT Export,1346400.00,0.00,0.00,0.25%,3366.00,1.00%,13464.00,10098.00,0.00,N/A - Export Final Tax,0.00,3366.00,13464.00,0.25%,1343034.00,9100,PRC-HBL-2026-10291,Verified & Audit Ready,Actual TY2026,Major contract milestone delivery for US enterprise client
2026-01-18,TXN-2026-0102,Income,freelance_service,Direct Wire Transfer from CloudScale UK - Kubernetes Cluster Orchestration & CI/CD,CloudScale UK,CloudScale Technologies Ltd,finance@cloudscale.co.uk,+44-20-7946-0912,direct,United Kingdom,CloudScale UK,INV-2026-015,paid,2026-01-05,2026-01-18,2026-01-18,2600.00,0.00,0.00,2600.00,GBP,356.4000,2600.00,2600.00,926640.00,2025-26,Section 154A IT Export,926640.00,0.00,0.00,0.25%,2316.60,1.00%,9266.40,6949.80,0.00,N/A - Export Final Tax,0.00,2316.60,9266.40,0.25%,924323.40,9100,PRC-SCB-2026-21804,Verified & Audit Ready,Actual TY2026,British Pound IT export proceeds converted at official interbank rate
2026-01-22,TXN-2026-0103,Expense,software,AWS Cloud Production Cluster & S3 Storage Ingestion Costs,,,,,,United States,Amazon Web Services Inc,,,,,,,,,,USD,280.5000,-140.00,140.00,39270.00,2025-26,Deductible Business Expense,0.00,0.00,39270.00,0.00%,0.00,0.00%,0.00,0.00,0.00,N/A - Business Expense,0.00,0.00,0.00,0.00%,-39270.00,,,Deductible Receipt Attached,Actual TY2026,Production server clusters and database snapshot storage
2026-02-05,TXN-2026-0201,Income,freelance_service,Upwork Payout from TechFlow Labs LLC - Next.js AI Integration Milestone 2,TechFlow Labs LLC,TechFlow Innovations Ltd,contact@techflowlabs.io,+1-212-555-0198,upwork,United States,TechFlow Labs LLC,INV-2026-016,paid,2026-01-25,2026-02-05,2026-02-05,3200.00,0.00,0.00,3200.00,USD,280.5000,3200.00,3200.00,897600.00,2025-26,Section 154A IT Export,897600.00,0.00,0.00,0.25%,2244.00,1.00%,8976.00,6732.00,0.00,N/A - Export Final Tax,0.00,2244.00,8976.00,0.25%,895356.00,9100,PRC-HBL-2026-24890,Verified & Audit Ready,Actual TY2026,Upwork fixed-price contract completion verified by client
2026-02-05,TXN-2026-0202,Expense,other,Upwork Platform Service Fee - TechFlow Labs LLC Milestone 2,TechFlow Labs LLC,Upwork Global Inc,donotreply@upwork.com,+1-650-316-7500,upwork,United States,Upwork Global Inc,,,,,,,,,,USD,280.5000,-320.00,320.00,89760.00,2025-26,Deductible Business Expense,0.00,0.00,89760.00,0.00%,0.00,0.00%,0.00,0.00,0.00,N/A - Business Expense,0.00,0.00,0.00,0.00%,-89760.00,,,Deductible Receipt Attached,Actual TY2026,"Upwork 10% platform fee deduction on $3,200 payout"
2026-02-18,TXN-2026-0203,Income,freelance_service,Invoice INV-2026-017 for BlueSky Solutions - Flutter Multiplatform Cross-Platform App,BlueSky Solutions,BlueSky Solutions Inc,billing@blueskysolutions.com,+1-415-555-0112,direct,United States,BlueSky Solutions,INV-2026-017,paid,2026-02-01,2026-02-18,2026-02-18,2500.00,0.00,0.00,2500.00,USD,280.5000,2500.00,2500.00,701250.00,2025-26,Section 154A IT Export,701250.00,0.00,0.00,0.25%,1753.12,1.00%,7012.50,5259.38,0.00,N/A - Export Final Tax,0.00,1753.12,7012.50,0.25%,699496.88,9100,PRC-MBL-2026-33901,Verified & Audit Ready,Actual TY2026,Direct client mobile app build payment received via inward swift wire
2026-03-05,TXN-2026-0301,Income,freelance_service,Invoice INV-2026-018 from ByteWave Solutions GmbH - Kafka Realtime Event Streaming Architecture,ByteWave Solutions,ByteWave Solutions GmbH,rechnung@bytewave.de,+49-30-1234567,direct,Germany,ByteWave Solutions GmbH,INV-2026-018,paid,2026-02-20,2026-03-05,2026-03-05,3400.00,0.00,0.00,3400.00,EUR,302.1000,3400.00,3400.00,1027140.00,2025-26,Section 154A IT Export,1027140.00,0.00,0.00,0.25%,2567.85,1.00%,10271.40,7703.55,0.00,N/A - Export Final Tax,0.00,2567.85,10271.40,0.25%,1024572.15,9100,PRC-UBL-2026-78119,Verified & Audit Ready,Actual TY2026,German client payment under Section 154A final tax regime
2026-03-12,TXN-2026-0302,Expense,software,Professional Web Design UI Kits & Figma Enterprise Developer Seats,,,,,,United States,Figma Inc,,,,,,,,,,USD,280.5000,-90.00,90.00,25245.00,2025-26,Deductible Business Expense,0.00,0.00,25245.00,0.00%,0.00,0.00%,0.00,0.00,0.00,N/A - Business Expense,0.00,0.00,0.00,0.00%,-25245.00,,,Deductible Receipt Attached,Actual TY2026,UI/UX component libraries and Figma collaboration seat
2026-03-20,TXN-2026-0303,Income,freelance_service,Invoice INV-2026-019 for Karachi Logistics Gateway - Automated Dispatch & Tracking Backend,Karachi Logistics Gateway,Karachi Logistics Network Pvt Ltd,accounts@karachilogistics.pk,+92-21-34567890,direct,Pakistan,Karachi Logistics Gateway,INV-2026-019,paid,2026-03-05,2026-03-20,2026-03-20,500000.00,0.00,0.00,500000.00,PKR,1.0000,500000.00,500000.00,500000.00,2025-26,Section 9/10 Normal Slabs,0.00,500000.00,0.00,0.00%,0.00,0.00%,0.00,0.00,500000.00,Bracket 1: PKR 0 - 600k (0% Exemption),0.00,0.00,0.00,0.00%,500000.00,,,Verified & Audit Ready,Actual TY2026,Domestic freight dispatch backend microservice contract
2026-04-08,TXN-2026-0401,Income,freelance_service,Invoice INV-2026-020 from Quantum Code Soft - GraphQL Federation Subgraphs & Security Hardening,Quantum Code Soft,Quantum Code Software Inc,invoices@quantumcode.io,+1-617-555-0133,direct,United States,Quantum Code Soft,INV-2026-020,paid,2026-03-28,2026-04-08,2026-04-08,4500.00,0.00,0.00,4500.00,USD,280.5000,4500.00,4500.00,1262250.00,2025-26,Section 154A IT Export,1262250.00,0.00,0.00,0.25%,3155.62,1.00%,12622.50,9466.88,0.00,N/A - Export Final Tax,0.00,3155.62,12622.50,0.25%,1259094.38,9100,PRC-BAHL-2026-59021,Verified & Audit Ready,Actual TY2026,US client direct contract wire into Bank AL Habib
2026-04-15,TXN-2026-0402,Expense,internet,High-Speed Internet & Static IP Business Bundle Monthly Bill,,,,,,Pakistan,StormFiber / Cybernet Pakistan,,,,,,,,,,PKR,1.0000,-8500.00,8500.00,8500.00,2025-26,Deductible Business Expense,0.00,0.00,8500.00,0.00%,0.00,0.00%,0.00,0.00,0.00,N/A - Business Expense,0.00,0.00,0.00,0.00%,-8500.00,,,Deductible Receipt Attached,Actual TY2026,Static IP & fiber optic business line expense
2026-04-25,TXN-2026-0403,Income,freelance_service,Fiverr Order Clearing - High-Performance Rust WASM Module for Web Audio Editor,Apex Digital Inc,Apex Digital Media Corp,devs@apexdigital.com,+1-312-555-0177,fiverr,United States,Apex Digital Inc,INV-2026-021,paid,2026-04-10,2026-04-25,2026-04-25,2100.00,0.00,0.00,2100.00,USD,280.5000,2100.00,2100.00,589050.00,2025-26,Section 154A IT Export,589050.00,0.00,0.00,0.25%,1472.62,1.00%,5890.50,4417.88,0.00,N/A - Export Final Tax,0.00,1472.62,5890.50,0.25%,587577.38,9100,PRC-MBL-2026-44912,Verified & Audit Ready,Actual TY2026,Fiverr Pro custom order completion
2026-05-06,TXN-2026-0501,Income,freelance_service,Invoice INV-2026-022 from Vanguard Software Studio - Realtime WebRTC Collaboration Engine,Vanguard Software Studio,Vanguard Software Studio LLC,accounting@vanguardstudio.com,+1-512-555-0164,direct,United States,Vanguard Software Studio,INV-2026-022,paid,2026-04-25,2026-05-06,2026-05-06,4100.00,0.00,0.00,4100.00,USD,280.5000,4100.00,4100.00,1150050.00,2025-26,Section 154A IT Export,1150050.00,0.00,0.00,0.25%,2875.12,1.00%,11500.50,8625.38,0.00,N/A - Export Final Tax,0.00,2875.12,11500.50,0.25%,1147174.88,9100,PRC-HBL-2026-40192,Verified & Audit Ready,Actual TY2026,WebRTC audio/video mesh network client payment
2026-05-18,TXN-2026-0502,Income,freelance_service,Invoice INV-2026-023 for PakFintech Solutions - Core Banking Webhooks Gateway,PakFintech Solutions,PakFintech Pvt Ltd,accounts@pakfintech.pk,+92-42-35889900,direct,Pakistan,PakFintech Pvt Ltd,INV-2026-023,paid,2026-05-05,2026-05-18,2026-05-18,450000.00,0.00,0.00,450000.00,PKR,1.0000,450000.00,450000.00,450000.00,2025-26,Section 9/10 Normal Slabs,0.00,450000.00,0.00,0.00%,0.00,0.00%,0.00,0.00,450000.00,Bracket 1: PKR 0 - 600k (0% Exemption),0.00,0.00,0.00,0.00%,450000.00,,,Verified & Audit Ready,Actual TY2026,Local enterprise financial middleware contract
2026-05-24,TXN-2026-0503,Expense,tax,PSEB Annual Corporate Membership & IT Exporter Renewal Fee,,,,,,Pakistan,Pakistan Software Export Board (PSEB),,,,,,,,,,PKR,1.0000,-25000.00,25000.00,25000.00,2025-26,Deductible Business Expense,0.00,0.00,25000.00,0.00%,0.00,0.00%,0.00,0.00,0.00,N/A - Business Expense,0.00,0.00,0.00,0.00%,-25000.00,,,Deductible Receipt Attached,Actual TY2026,PSEB registration renewal ensuring 0.25% concessionary tax rate
2026-06-05,TXN-2026-0601,Income,freelance_service,Invoice INV-2026-024 from Acme Corp - Annual SaaS Architecture Retainer & Scalability Audit,Acme Corp,Acme Global Technologies Inc,finance@acmeglobal.com,+1-415-555-0142,direct,United States,Acme Global Technologies Inc,INV-2026-024,paid,2026-05-25,2026-06-05,2026-06-05,5500.00,0.00,0.00,5500.00,USD,280.5000,5500.00,5500.00,1542750.00,2025-26,Section 154A IT Export,1542750.00,0.00,0.00,0.25%,3856.88,1.00%,15427.50,11570.62,0.00,N/A - Export Final Tax,0.00,3856.88,15427.50,0.25%,1538893.12,9100,PRC-HBL-2026-61902,Verified & Audit Ready,Actual TY2026,Enterprise performance audit and disaster recovery setup
